id|string|lex
|pills|IDEATION
|kill|IDEATION
|suicidal|IDEATION
|thoughts|IDEATION
|suicide|IDEATION
|plan|IDEATION
|pain|IDEATION
|anymore|IDEATION
|tired|IDEATION
|overdose|IDEATION
|hospital|IDEATION
|alive|IDEATION
|nothing|IDEATION
|gun|IDEATION
|dead|IDEATION
|live|IDEATION
|tonight|IDEATION
|fucking|IDEATION
|life|IDEATION
|killing|IDEATION
|death|IDEATION
|shit|IDEATION
|thinking|IDEATION
|tried|IDEATION
|everyone|IDEATION
|id|IDEATION
|thought|IDEATION
|point|IDEATION
|living|IDEATION
|people|IDEATION
|hate|IDEATION
|done|IDEATION
|probably|IDEATION
|worse|IDEATION
|sleep|IDEATION
|nobody|IDEATION
|knife|IDEATION
|theres|IDEATION
|wanna|IDEATION
|would|IDEATION
|safe|IDEATION
|enough|IDEATION
|bridge|IDEATION
|way|IDEATION
|cut|IDEATION
|therapist|IDEATION
|world|IDEATION
|wake|IDEATION
|meds|IDEATION
|burden|IDEATION
|reason|IDEATION
|cant|IDEATION
|keep|IDEATION
|hurt|IDEATION
|anything|IDEATION
|anyone|IDEATION
|everything|IDEATION
|gonna|IDEATION
|matter|IDEATION
|already|IDEATION
|wrists|IDEATION
|even|IDEATION
|ive|IDEATION
|music|IDEATION
|maybe|IDEATION
|head|IDEATION
|guess|IDEATION
|wouldnt|IDEATION
|better|IDEATION
|self|IDEATION
|deserve|IDEATION
|cares|IDEATION
|every|IDEATION
|wont|IDEATION
|cutting|IDEATION
|worth|IDEATION
|ending|IDEATION
|ever|IDEATION
|wish|IDEATION
|alone|IDEATION
|car|IDEATION
|day|IDEATION
|jump|IDEATION
|honestly|IDEATION
|last|IDEATION
|many|IDEATION
|slit|IDEATION
|could|IDEATION
|right|IDEATION
|else|IDEATION
|make|IDEATION
|never|IDEATION
|mental|IDEATION
|feeling|IDEATION
|worthless|IDEATION
|mind|IDEATION
|actually|IDEATION
|fuck|IDEATION
|try|IDEATION
|attempt|IDEATION
|away|IDEATION
|family|IDEATION
|idk|IDEATION
|thats|IDEATION
|stop|IDEATION
|therapy|IDEATION
|gone|IDEATION
|sorry|IDEATION
|put|IDEATION
|dying|IDEATION
|go|IDEATION
|always|IDEATION
|long|IDEATION
|thing|IDEATION
|havent|IDEATION
|times|IDEATION
|though|IDEATION
|job|IDEATION
|years|IDEATION
|depression|IDEATION
|strong|IDEATION
|least|IDEATION
|ways|IDEATION
|stay|IDEATION
|cause|IDEATION
|going|IDEATION
|trying|IDEATION
|option|IDEATION
|mean|IDEATION
|plans|IDEATION
|sure|IDEATION
|think|IDEATION
|purpose|IDEATION
|still|IDEATION
|attempted|IDEATION
|access|IDEATION
|hope|IDEATION
|see|IDEATION
|bottle|IDEATION
|theyre|IDEATION
|hanging|IDEATION
|lost|IDEATION
|parents|IDEATION
|left|IDEATION
|around|IDEATION
|overdosing|IDEATION
|help|IDEATION
|bad|IDEATION
|discharged|IDEATION
|yes|IDEATION
|night|IDEATION
|find|IDEATION
|wrist|IDEATION
|happy|IDEATION
|fighting|IDEATION
|youre|IDEATION
|things|IDEATION
|either|IDEATION
|without|IDEATION
|work|IDEATION
|commit|IDEATION
|give|IDEATION
|fucked|IDEATION
|hopeless|IDEATION
|much|IDEATION
|say|IDEATION
|today|IDEATION
|used|IDEATION
|longer|IDEATION
|everyday|IDEATION
|died|IDEATION
|whats|IDEATION
|rope|IDEATION
|tell|IDEATION
|made|IDEATION
|rather|IDEATION
|sleeping|IDEATION
|friends|IDEATION
|use|IDEATION
|person|IDEATION
|past|IDEATION
|mom|IDEATION
|yet|IDEATION
|room|IDEATION
|something|IDEATION
|time|IDEATION
|didnt|IDEATION
|killed|IDEATION
|wanting|IDEATION
|jumping|IDEATION
|helps|IDEATION
|stupid|IDEATION
|easier|IDEATION
|since|IDEATION
|honest|IDEATION
|scared|IDEATION
|cops|IDEATION
|ideation|IDEATION
|got|IDEATION
|isnt|IDEATION
|really|IDEATION
|soon|IDEATION
|moment|IDEATION
|getting|IDEATION
|bed|IDEATION
|hurting|IDEATION
|back|IDEATION
|home|IDEATION
|almost|IDEATION
|shoot|IDEATION
|money|IDEATION
|leave|IDEATION
|medication|IDEATION
|taking|IDEATION
|took|IDEATION
|good|IDEATION
|place|IDEATION
|someone|IDEATION
|afford|IDEATION
|tomorrow|IDEATION
|makes|IDEATION
|ok|IDEATION
|razor|IDEATION
|ago|IDEATION
|planning|IDEATION
|act|IDEATION
|might|IDEATION
|love|IDEATION
|usually|IDEATION
|call|IDEATION
|fight|IDEATION
|okay|IDEATION
|another|IDEATION
|useless|IDEATION
|real|IDEATION
|failed|IDEATION
|get|IDEATION
|please|IDEATION
|failure|IDEATION
|alcohol|IDEATION
|couldnt|IDEATION
|hell|IDEATION
|deal|IDEATION
|insurance|IDEATION
|doesnt|IDEATION
|weak|IDEATION
|house|IDEATION
|attempts|IDEATION
|days|IDEATION
|selfish|IDEATION
|supposed|IDEATION
|coward|IDEATION
|seems|IDEATION
|asleep|IDEATION
|drive|IDEATION
|note|IDEATION
|able|IDEATION
|none|IDEATION
|talking|IDEATION
|escape|IDEATION
|hang|IDEATION
