cui|string|lex
|.|DOT
|,|PUNCT
|;|PUNCT
|:|PUNCT
|!|PUNCT
|?|PUNCT
|veteran's|PT
|veteran|PT
|patient|PT
| pt |PT
| pt.|PT
| pt's|PT
|care giver|CG
|caregiver|CG
|support system|CG
|aunt|FAM
|aunt's|FAM
|aunts|FAM
|aunts'|FAM
|boyfriend|FAM
|boyfriend's|FAM
|boyfriends|FAM
|boyfriends'|FAM
|bride|FAM
|bride's|FAM
|bridegroom|FAM
|bridegroom's|FAM
|bridegrooms|FAM
|bridegrooms'|FAM
|brides|FAM
|brides'|FAM
|brother|FAM
|brother-in-law|FAM
|brother-in-law's|FAM
|brother-in-laws'|FAM
|brother's|FAM
|brothers|FAM
|brothers-in-law|FAM
|brothers'|FAM
|child's|FAM
|children|FAM
|childs|FAM
|childs'|FAM
|child|FAM
|cousin|FAM
|cousin's|FAM
|cousins|FAM
|cousins'|FAM
|dad|FAM
|dad's|FAM
|dads|FAM
|dads'|FAM
|daughter|FAM
|daughter-in-law|FAM
|daughter-in-law's|FAM
|daughter-in-laws'|FAM
|daughter's|FAM
|daughters|FAM
|daughters-in-law|FAM
|daughters'|FAM
|family|FAM
|family member|FAM
|father|FAM
|father-in-law|FAM
|father-in-law's|FAM
|father-in-laws'|FAM
|father's|FAM
|fathers|FAM
|fathers-in-law|FAM
|fathers'|FAM
|fiance|FAM
|fiance's|FAM
|fiancee|FAM
|fiancee's|FAM
|fiancees|FAM
|fiancees'|FAM
|fiances|FAM
|fiances'|FAM
|girlfriend|FAM
|girlfriend's|FAM
|girlfriends|FAM
|girlfriends'|FAM
|godchild|FAM
|godchild's|FAM
|godchildren|FAM
|godchilds|FAM
|godchilds'|FAM
|goddaughter|FAM
|goddaughter's|FAM
|goddaughters|FAM
|goddaughters'|FAM
|godfather|FAM
|godfather's|FAM
|godfathers|FAM
|godfathers'|FAM
|godmother|FAM
|godmother's|FAM
|godmothers|FAM
|godmothers'|FAM
|godson|FAM
|godson's|FAM
|godsons|FAM
|godsons'|FAM
|grandchild|FAM
|grandchild's|FAM
|grandchilds|FAM
|grandchilds'|FAM
|granddad|FAM
|granddad's|FAM
|granddads|FAM
|granddads'|FAM
|granddaughter|FAM
|granddaughter's|FAM
|granddaughters|FAM
|granddaughters'|FAM
|grandfather|FAM
|grandfather's|FAM
|grandfathers|FAM
|grandfathers'|FAM
|grandma|FAM
|grandma's|FAM
|grandmas|FAM
|grandmas'|FAM
|grandmother|FAM
|grandmother's|FAM
|grandmothers|FAM
|grandmothers'|FAM
|grandpa|FAM
|grandpa's|FAM
|grandparent|FAM
|grandpas|FAM
|grandpas'|FAM
|grandson|FAM
|grandson's|FAM
|grandsons|FAM
|grandsons'|FAM
|granny|FAM
|granny's|FAM
|grannys|FAM
|grannys'|FAM
|groom|FAM
|groom's|FAM
|grooms|FAM
|grooms'|FAM
|husband|FAM
|husband's|FAM
|husbands|FAM
|husbands'|FAM
|kid|FAM
|kids|FAM
|mom|FAM
|mom's|FAM
|moms|FAM
|moms'|FAM
|mother|FAM
|stepmother|FAM
|mother-in-law|FAM
|mother-in-law's|FAM
|mother-in-laws'|FAM
|mother's|FAM
|mothers|FAM
|mothers-in-law|FAM
|mothers'|FAM
|mum|FAM
|mum's|FAM
|mummy|FAM
|mummy's|FAM
|mummys|FAM
|mummys'|FAM
|mums|FAM
|mums'|FAM
|nephew|FAM
|nephew's|FAM
|nephews|FAM
|nephews'|FAM
|niece|FAM
|niece's|FAM
|nieces|FAM
|nieces'|FAM
|parent|FAM
|parent's|FAM
|parents|FAM
|parents-in-law|FAM
|parents-in-law's|FAM
|parents-in-laws'|FAM
|parents'|FAM
|sister|FAM
|sister-in-law|FAM
|sister-in-law's|FAM
|sister-in-laws'|FAM
|sister's|FAM
|sisters|FAM
|sisters-in-law|FAM
|sisters'|FAM
